BioSample,Prep,BodySite,Subject
SAMN04431566,PSP,Vaginal Swab,70
SAMN04431565,PSP,Vaginal Swab,69
SAMN04431564,PSP,Vaginal Swab,67
SAMN04431563,PSP,Vaginal Swab,66
SAMN04431562,PSP,Vaginal Swab,61
SAMN04431561,PSP,Vaginal Swab,55
SAMN04431560,Mobio,Sterile Swab,5
SAMN04431559,Mobio,Sterile Swab,4
SAMN04431558,Mobio,Sterile Swab,3
SAMN04431557,Mobio,Sterile Swab,2
SAMN04431556,Mobio,Sterile Swab,1
SAMN04431555,PSP,Sterile Swab,3
SAMN04431554,PSP,Sterile Swab,2
SAMN04431553,PSP,Sterile Swab,1
SAMN04431552,Mobio,Saliva,70
SAMN04431551,Mobio,Saliva,69
SAMN04431550,Mobio,Saliva,67
SAMN04431549,Mobio,Saliva,66
SAMN04431548,Mobio,Saliva,61
SAMN04431547,Mobio,Saliva,55
SAMN04431546,PSP,Saliva,70
SAMN04431545,PSP,Saliva,69
SAMN04431544,PSP,Saliva,67
SAMN04431543,PSP,Saliva,66
SAMN04431542,PSP,Saliva,61
SAMN04431541,PSP,Saliva,55
SAMN04431538,PSP,Extraction,6
SAMN04431537,PSP,Extraction,5
SAMN04431536,Mobio,PlacentaMS,70
SAMN04431535,Mobio,PlacentaMS,69
SAMN04431534,Mobio,PlacentaMS,67
SAMN04431533,Mobio,PlacentaMS,66
SAMN04431532,Mobio,PlacentaMS,61
SAMN04431531,Mobio,PlacentaMS,55
SAMN04431530,PSP,PlacentaMS,70
SAMN04431529,PSP,PlacentaMS,69
SAMN04431528,PSP,PlacentaMS,67
SAMN04431527,PSP,PlacentaMS,66
SAMN04431526,PSP,PlacentaMS,61
SAMN04431525,PSP,PlacentaMS,55
SAMN04431524,Mobio,PlacentaFS,70
SAMN04431523,Mobio,PlacentaFS,69
SAMN04431522,Mobio,PlacentaFS,67
SAMN04431521,Mobio,PlacentaFS,66
SAMN04431520,Mobio,PlacentaFS,61
SAMN04431519,Mobio,PlacentaFS,55
SAMN04431518,PSP,PlacentaFS,70
SAMN04431517,PSP,PlacentaFS,69
SAMN04431516,PSP,PlacentaFS,67
SAMN04431515,PSP,PlacentaFS,66
SAMN04431514,PSP,PlacentaFS,61
SAMN04431513,PSP,PlacentaFS,55
SAMN04431512,Mobio,Extraction,6
SAMN04431511,Mobio,Extraction,5
SAMN04431510,Mobio,Extraction,4
SAMN04431509,Mobio,Extraction,3
SAMN04431508,Mobio,Extraction,2
SAMN04431507,Mobio,Extraction,1
SAMN04431506,PSP,Air Swab,70
SAMN04431505,PSP,Air Swab,69
SAMN04431504,PSP,Air Swab,67
SAMN04431503,PSP,Air Swab,66
SAMN04431502,PSP,Air Swab,61
SAMN04431501,PSP,Air Swab,55
SAMN04431500,Mobio,Air Swab,5
SAMN04431499,Mobio,Air Swab,4
SAMN04431498,Mobio,Air Swab,3
SAMN04431497,Mobio,Air Swab,2
SAMN04431496,Mobio,Air Swab,1
