Instance,Class,Order,Family,Genus,Species,imaged_in_reference,imaged_in,sublocation,genus_also_found_in
1,,,,Corynebacterium,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
2,,,,Streptococcus,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,gut
3,,,,Porphyromonas,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
4,,,,Haemophilus,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
5,,,,Aggregatibacter,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
6,,,,Kingella,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
7,,,,Neisseria,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
8,,,,Capnocytophaga,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
9,,,,Actinomyces,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
10,,,,Fusobacterium,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
11,,,,Leptotrichia,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
12,,,,Lautropia,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
13,,,,Rothia,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
14,,,,Prevotella,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
15,,,,Veilonella,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
16,,,,Eikenella,unspecified,Mark Welch et al. 2016,oral,supragingival plaque,
17,,,,Gemella,unspecified,Valm et al. 2011,oral,sub- and supragingival plaque,
18,,,,Selenomonas,unspecified,Valm et al. 2011,oral,sub- and supragingival plaque,
19,,,,Campylobacter,unspecified,Valm et al. 2011,oral,sub- and supragingival plaque,
20,,,,Treponema,unspecified,Valm et al. 2011,oral,sub- and supragingival plaque,
21,,,,Lactobacillus,unspecified,Zijnge et al. 2010,oral,sub- and supragingival plaque,
22,,,,Tannerella,unspecified,Zijnge et al. 2010,oral,sub- and supragingival plaque,
23,,,,Synergistetes,unspecified,Zijnge et al. 2010,oral,sub- and supragingival plaque,
24,,,,Parvimonas,unspecified,Zijnge et al. 2010,oral,sub- and supragingival plaque,
25,,,,TM7,unspecified,Brinig et al. 2003,oral,subgingival plaque,
26,,,,Selenomonas,flueggei,Valm et al. 2011,oral,sub- and supragingival plaque,
27,,,,Veillonella,atypica,Valm et al. 2011,oral,sub- and supragingival plaque,
28,,,,Fusobacterium,nucleatum,Valm et al. 2011,oral,sub- and supragingival plaque,
29,,,,Porphyromonas,gingivalis,Valm et al. 2011,oral,sub- and supragingival plaque,
30,,,,Haemophilus,influenzae,Valm et al. 2011,oral,sub- and supragingival plaque,
31,,,,Capnocytophaga,gingivalis,Valm et al. 2011,oral,sub- and supragingival plaque,
32,,,,Neisseria,sicca,Valm et al. 2011,oral,sub- and supragingival plaque,
33,,,,Streptococcus,sanguinis,Valm et al. 2011,oral,sub- and supragingival plaque,
34,,,,Prevotella,nigrescens,Valm et al. 2011,oral,sub- and supragingival plaque,
35,,,,Gemella,bergeri,Valm et al. 2011,oral,sub- and supragingival plaque,
36,,,,Treponema,denticola,Valm et al. 2011,oral,sub- and supragingival plaque,
37,,,,Actinomyces,naeslundii,Valm et al. 2011,oral,sub- and supragingival plaque,
38,,,,Campylobacter,showae,Valm et al. 2011,oral,sub- and supragingival plaque,
39,,,,Rothia,dentocariosa,Valm et al. 2011,oral,sub- and supragingival plaque,
40,,,,Leptotrichia,buccalis,Valm et al. 2011,oral,sub- and supragingival plaque,
