HOT_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Status,Warning,Type_strain,16S_rRNA,Clone_count,Clone_%,Clone_rank,Synonyms,NCBI_taxon_id,NCBI_pubmed_count,NCBI_nucleotide_count,NCBI_protein_count,Genome_ID,General_info,Cultivability,Phenotypic_characteristics,Prevalence,Disease,References
1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,schoenbuchensis,Named,,,NR_025410,0,0,0,Strain TFI A28SC,,9,93,5894,SEQF2664,N/A,,,,,
2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,sp. oral taxon 002,Phylotype,,,DQ493433,2,0.01,409,Oral Clone AW149,,0,2,0,,N/A,,,,,
3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,echinoides,Named,,ATCC 14820,AF385529,2,0.01,409,Oral Clone AV069,,0,2,0,,N/A,,,,,
4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,sp. oral taxon 004,Phylotype,,,AF385533,1,0,459,Oral Clone AW030,,0,1,0,,N/A,,,,,
6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,sp. oral taxon 006,Phylotype,,,AY349411,1,0,459,Oral Clone FI012,,0,1,0,,N/A,,,,,
7,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,tepidarius,Named,,DSM 10594,AJ223452,2,0.01,409,Oral Clone BF019,,0,2,0,,N/A,,,,,
8,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Mogibacterium,vescum,Named,,,AB021702,11,0.03,267,,86333,1,13,0,,N/A,,,,,
9,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,sp. oral taxon 009,Dropped,1,,To be submitted,1,0,459,Oral Clone BM052,,0,0,0,,This taxon has been removed as it was based on a sequence chimera.,,,,,
11,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,sp. oral taxon 011,Lost,,,L06165,1,0,459,Oral Strain UB-204,,0,1,0,,N/A,,,,,
12,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,sp. oral taxon 012,Phylotype,,,AF366267,10,0.03,280,Oral Clone DE012,,0,10,0,,N/A,,,,,
13,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,bacilliformis,Named,,,AY005029,54,0.15,118,Oral Clone AK105,267212,4,158,5922,SEQF1969,N/A,,,,,
